X         Y         NODES    DEPOTS   CAPACITY   TRAVEL TIME              
33.0      85.0      417        1        2000         1440     
33.7      86.7      259      100      300      1320     60       
33.5      86.8      360      101      300      540      60       
30.8      88.1      260      102      300      1320     60       
34.7      87.0      268      103      720      1080     60       
31.0      87.5      285      104      300      1320     60       
34.6      87.0      380      105      300      1320     60       
31.4      86.1      220      106      300      1320     60       
32.6      85.5      226      107      300      1320     60       
33.6      86.8      290      108      300      1320     60       
34.7      86.0      330      109      300      1320     60       
33.8      85.8      175      110      300      540      60       
30.4      88.3      330      111      300      1320     60       
30.6      88.2      237      112      300      1320     60       
34.2      87.6      445      113      300      540      60       
30.7      88.1      245      114      300      1320     60       
32.4      86.3      350      115      300      1320     60       
34.0      86.0      265      116      300      1320     60       
31.0      85.9      305      117      300      1320     60       
33.2      86.3      220      118      300      1320     60       
33.6      86.8      331      119      720      1080     60       
31.6      85.2      257      120      720      1080     60       
33.6      86.4      360      121      960      1080     60       
33.9      86.4      380      122      240      300      60       
31.3      85.4      360      123      240      300      60       
34.2      85.7      277      124      300      1320     60       
32.4      86.3      400      125      300      1320     60       
32.4      86.3      310      126      300      1320     60       
33.7      85.8      255      127      300      540      60       
33.7      85.8      366      128      300      540      60       
32.8      85.8      335      129      300      1320     60       
31.7      86.3      235      130      300      1320     60       
32.3      86.3      360      131      960      1080     60       
32.6      85.4      325      132      720      1080     60       
31.0      86.3      219      133      300      1320     60       
33.9      87.8      360      134      300      1320     60       
32.1      85.7      265      135      300      1320     60       
33.1      86.8      270      136      960      1080     60       
35.0      85.8      240      137      720      1080     60       
33.1      86.8      380      138      960      1080     60       
31.4      85.3      275      139      300      540      60       
31.7      85.8      250      140      960      1080     60       
32.6      87.4      260      141      300      540      60       
33.9      85.6      260      142      960      1080     60       
34.7      86.0      250      143      300      1320     60       
32.9      85.2      250      144      240      300      60       
35.0      91.0      250      145      300      540      60       
30.8      85.2      230      146      720      1080     60       
30.5      86.5      460      147      300      1320     60       
30.4      87.2      265      148      300      1320     60       
30.7      86.1      315      149      960      1080     60       
30.6      87.1      290      150      300      1320     60       
30.4      87.2      225      151      300      540      60       
30.9      85.7      400      152      300      1320     60       
30.4      86.5      225      153      300      1320     60       
30.4      87.2      290      154      720      1080     60       
30.6      86.6      465      155      720      1080     60       
30.3      85.6      185      156      300      1320     60       
30.2      85.6      180      157      300      540      60       
29.8      85.3      220      158      300      1320     60       
30.2      85.8      160      159      240      300      60       
30.7      84.8      300      160      300      1320     60       
30.4      85.0      300      161      300      540      60       
30.2      85.6      185      162      300      540      60       
30.2      85.6      221      163      300      540      60       
30.6      86.6      215      164      240      300      60       
30.8      86.6      430      165      240      300      60       
30.4      86.6      350      166      960      1080     60       
30.2      85.8      100      167      960      1080     60       
30.4      87.2      245      168      720      1080     60       
29.7      85.0      250      169      300      1320     60       
31.0      85.5      315      170      300      1320     60       
30.4      87.2      300      171      960      1080     60       
30.4      87.2      265      172      300      1320     60       
33.2      84.3      240      173      300      1320     60       
32.6      83.7      165      174      300      540      60       
33.0      85.0      220      175      300      1320     60       
32.1      84.2      171      176      300      1320     60       
32.0      83.8      155      177      300      1320     60       
32.6      83.9      190      178      240      300      60       
32.5      84.9      325      179      300      1320     60       
32.5      83.7      160      180      240      300      60       
32.3      83.5      215      181      300      1320     60       
33.4      84.8      165      182      300      540      60       
33.6      85.1      150      183      300      1320     60       
31.4      84.9      240      184      720      1080     60       
33.7      84.0      145      185      960      1080     60       
34.0      83.4      325      186      720      1080     60       
33.9      84.5      200      187      300      1320     60       
32.6      83.7      315      188      300      1320     60       
33.1      84.2      190      189      300      1320     60       
33.7      84.3      200      190      720      1080     60       
32.4      83.4      305      191      300      1320     60       
33.9      84.5      206      192      300      540      60       
33.9      84.5      220      193      300      540      60       
33.6      84.4      250      194      720      1080     60       
33.7      84.7      130      195      240      300      60       
33.7      84.4      176      196      300      1320     60       
33.8      84.1      168      197      300      1320     60       
33.9      84.0      200      198      300      1320     60       
33.8      83.8      340      199      300      1320     60       
33.8      84.2      204      200      300      1320     60       
31.8      84.4      210      201      720      1080     60       
33.9      84.2      150      202      960      1080     60       
34.3      85.2      200      203      300      1320     60       
33.8      84.3      200      204      300      540      60       
33.2      84.3      245      205      300      1320     60       
33.8      84.4      250      206      300      1320     60       
33.7      84.3      250      207      300      1320     60       
33.8      84.1      300      208      300      1320     60       
33.8      84.1      220      209      300      1320     60       
33.9      84.2      150      210      300      1320     60       
34.2      83.5      285      211      300      540      60       
33.8      84.2      180      212      300      540      60       
33.7      84.3      166      213      240      300      60       
33.8      84.6      200      214      300      1320     60       
34.0      83.4      205      215      240      300      60       
34.1      84.0      340      216      720      1080     60       
33.8      84.4      190      217      300      1320     60       
32.9      84.6      260      218      720      1080     60       
33.7      84.2      150      219      300      1320     60       
33.8      84.4      205      220      300      1320     60       
32.5      84.9      200      221      720      1080     60       
33.7      83.9      215      222      960      1080     60       
33.0      83.9      211      223      300      540      60       
32.9      84.3      245      224      720      1080     60       
33.7      84.7      250      225      300      1320     60       
33.9      84.5      179      226      240      300      60       
33.7      84.4      250      227      300      540      60       
33.4      84.8      260      228      300      1320     60       
33.5      84.4      242      229      960      1080     60       
32.1      84.2      155      230      720      1080     60       
33.7      84.0      140      231      300      1320     60       
33.7      84.1      178      232      300      540      60       
33.9      84.5      405      233      960      1080     60       
33.9      84.5      250      234      300      1320     60       
33.8      84.7      280      235      300      540      60       
33.9      84.2      250      236      300      1320     60       
33.9      84.2      220      237      720      1080     60       
33.8      84.2      200      238      240      300      60       
32.5      82.8      215      239      300      1320     60       
33.1      83.2      260      240      300      1320     60       
33.4      82.0      240      241      300      540      60       
33.5      82.5      270      242      300      1320     60       
33.5      82.0      170      243      720      1080     60       
33.4      81.9      289      244      300      1320     60       
32.8      83.6      275      245      240      300      60       
32.8      83.7      230      246      300      1320     60       
32.8      83.7      220      247      300      1320     60       
33.8      84.7      275      248      300      1320     60       
35.0      85.2      240      249      300      1320     60       
33.4      82.0      250      250      300      540      60       
33.4      81.9      245      251      720      1080     60       
34.8      84.8      250      252      300      1320     60       
33.5      82.0      232      253      300      540      60       
34.3      83.8      325      254      720      1080     60       
34.1      84.5      265      255      720      1080     60       
34.4      82.9      260      256      720      1080     60       
32.8      83.7      245      257      300      1320     60       
32.2      83.1      230      258      300      1320     60       
34.3      83.8      274      259      300      1320     60       
34.2      84.5      240      260      300      1320     60       
33.3      84.0      315      261      300      540      60       
33.7      82.7      290      262      300      1320     60       
33.1      82.0      370      263      240      300      60       
34.1      84.3      423      264      300      540      60       
34.6      83.8      280      265      960      1080     60       
32.6      83.7      300      266      300      1320     60       
33.3      84.6      365      267      300      1320     60       
34.3      85.2      160      268      300      1320     60       
32.7      83.8      300      269      240      300      60       
34.1      84.7      350      270      240      300      60       
34.2      83.9      455      271      720      1080     60       
32.3      84.0      220      272      720      1080     60       
32.5      82.9      230      273      300      1320     60       
34.0      84.0      260      274      300      1320     60       
32.8      83.7      340      275      300      1320     60       
34.1      84.7      265      276      300      1320     60       
33.0      82.4      300      277      720      1080     60       
31.0      84.9      280      278      300      1320     60       
34.1      83.6      400      279      300      540      60       
33.7      85.1      275      280      300      1320     60       
33.4      84.5      128      281      240      300      60       
31.8      84.8      250      282      240      300      60       
34.5      84.4      285      283      240      300      60       
33.5      84.2      290      284      300      1320     60       
32.6      84.2      250      285      240      300      60       
33.3      83.4      315      286      960      1080     60       
34.7      84.5      390      287      720      1080     60       
34.2      84.8      250      288      720      1080     60       
33.7      84.3      230      289      300      1320     60       
33.8      84.2      200      290      240      300      60       
33.6      83.9      250      291      300      1320     60       
34.0      85.0      240      292      300      1320     60       
33.6      84.4      200      293      720      1080     60       
33.5      85.3      275      294      300      1320     60       
34.3      83.1      275      295      240      300      60       
31.6      84.2      250      296      300      1320     60       
34.9      84.0      200      297      720      1080     60       
35.0      85.3      165      298      240      300      60       
34.5      84.0      250      299      300      540      60       
33.9      84.7      300      300      300      540      60       
34.1      82.8      195      301      720      1080     60       
34.9      83.4      255      302      300      1320     60       
32.9      85.2      250      303      300      1320     60       
32.9      84.8      190      304      240      300      60       
33.5      82.0      290      305      720      1080     60       
33.4      82.0      375      306      300      1320     60       
34.0      84.3      250      307      300      540      60       
33.7      84.9      300      308      960      1080     60       
34.5      83.5      180      309      300      1320     60       
33.2      84.9      265      310      300      1320     60       
34.5      84.0      220      311      300      1320     60       
33.6      83.5      200      312      300      1320     60       
34.4      84.9      250      313      300      1320     60       
34.5      84.9      322      314      240      300      60       
32.5      84.9      295      315      300      1320     60       
32.5      84.9      430      316      300      1320     60       
33.4      81.7      250      317      720      1080     60       
33.5      82.0      250      318      720      1080     60       
29.9      90.1      180      319      720      1080     60       
32.5      92.1      250      320      300      1320     60       
29.9      90.1      250      321      300      1320     60       
30.8      89.9      220      322      720      1080     60       
30.2      93.3      250      323      300      540      60       
30.5      91.1      250      324      240      300      60       
30.3      93.3      164      325      300      1320     60       
30.4      90.9      100      326      720      1080     60       
30.2      93.2      200      327      300      1320     60       
30.2      93.2      200      328      300      1320     60       
30.0      90.2      170      329      300      1320     60       
30.3      89.8      140      330      300      1320     60       
33.6      88.4      335      331      960      1080     60       
33.4      91.0      295      332      300      1320     60       
32.5      88.7      235      333      300      1320     60       
31.7      89.1      181      334      300      1320     60       
31.3      89.3      250      335      300      1320     60       
30.4      88.5      313      336      300      540      60       
30.4      88.7      290      337      300      1320     60       
30.4      88.6      260      338      720      1080     60       
30.4      88.9      300      339      300      540      60       
30.4      88.9      245      340      960      1080     60       
31.7      88.6      380      341      240      300      60       
31.6      91.4      245      342      960      1080     60       
34.6      90.0      255      343      300      1320     60       
30.4      88.5      245      344      300      1320     60       
32.4      90.1      165      345      720      1080     60       
34.9      88.6      300      346      300      1320     60       
34.2      90.6      190      347      300      1320     60       
32.3      90.9      235      348      300      540      60       
33.5      88.8      240      349      960      1080     60       
33.4      88.4      410      350      300      1320     60       
31.7      89.1      190      351      300      1320     60       
31.2      90.5      270      352      300      1320     60       
34.0      88.5      315      353      240      300      60       
30.4      89.1      240      354      300      540      60       
32.5      88.7      265      355      720      1080     60       
30.4      89.1      290      356      300      1320     60       
34.2      88.7      290      357      240      300      60       
30.5      89.7      600      358      720      1080     60       
34.2      88.7      270      359      300      1320     60       
32.3      89.2      185      360      720      1080     60       
32.3      90.2      320      361      720      1080     60       
30.4      89.1      225      362      720      1080     60       
35.4      84.6      250      363      720      1080     60       
35.1      84.9      210      364      300      1320     60       
35.4      86.2      415      365      300      1320     60       
35.6      87.0      262      366      300      1320     60       
35.1      84.9      135      367      720      1080     60       
35.5      86.5      350      368      300      1320     60       
35.4      84.6      260      369      300      1320     60       
35.5      85.0      235      370      720      1080     60       
35.0      85.2      205      371      300      1320     60       
35.0      85.2      195      372      240      300      60       
35.6      84.5      190      373      300      1320     60       
35.1      84.9      190      374      240      300      60       
35.0      85.2      150      375      300      1320     60       
35.3      85.2      250      376      720      1080     60       
35.1      84.9      300      377      240      300      60       
35.2      86.6      330      378      300      1320     60       
35.2      87.0      261      379      300      1320     60       
35.0      85.7      273      380      300      1320     60       
35.3      84.5      280      381      300      1320     60       
35.8      84.3      205      382      300      540      60       
35.0      85.2      160      383      300      1320     60       
35.7      88.9      245      384      300      1320     60       
35.5      86.8      370      385      300      1320     60       
35.5      84.4      375      386      300      1320     60       
35.0      85.3      310      387      720      1080     60       
35.7      88.4      315      388      300      1320     60       
35.2      85.8      265      389      300      1320     60       
35.2      88.2      250      390      300      1320     60       
35.6      87.0      430      391      240      300      60       
35.6      89.3      305      392      300      1320     60       
35.1      90.0      215      393      720      1080     60       
35.2      90.0      235      394      300      1320     60       
35.1      90.0      150      395      240      300      60       
35.1      90.0      245      396      300      1320     60       
35.1      89.9      245      397      300      540      60       
36.0      89.4      265      398      720      1080     60       
35.7      84.3      200      399      300      1320     60       
35.4      85.4      205      400      300      1320     60       
35.0      85.2      140      401      300      1320     60       
35.2      86.1      375      402      300      1320     60       
35.1      90.0      138      403      300      1320     60       
35.0      89.7      235      404      300      540      60       
35.9      88.8      205      405      300      1320     60       
35.1      85.1      200      406      300      1320     60       
35.6      85.2      185      407      240      300      60       
35.3      89.0      220      408      300      1320     60       
35.1      90.0      250      409      300      540      60       
35.1      85.3      160      410      720      1080     60       
35.4      84.6      250      411      300      1320     60       
35.4      84.6      280      412      300      1320     60       
35.1      90.0      1000     413      960      1080     60       
35.0      85.2      250      414      720      1080     60       
34.2      86.8      67       415      300      1320     60       
34.6      87.0      119      416      240      300      60       
34.6      87.0      125      417      300      1320     60       
33.0      85.0      0        1                                   
