X        Y        NODES    DEPOTS   CAPACITY  TRAVEL TIME              
46.77    47.65    249        1        100         2000     
57.4     44.15    1        90       60       900      5        
57.45    44.17    1        91       120      900      6        
57.5     46.86    1        92       120      900      5        
57.97    52.02    1        93       120      420      5        
58.18    46.84    1        94       120      900      7        
42.07    53.86    1        95       0        900      11       
42.22    53.73    1        96       120      900      9        
42.32    53.8     1        97       300      900      5        
42.32    53.88    1        98       60       900      7        
42.33    53.6     1        99       180      900      5        
42.5     53.39    1        100      60       900      5        
42.5     53.39    1        101      0        900      8        
42.61    53.35    1        102      0        900      5        
42.61    53.64    1        103      0        900      7        
42.83    53.53    1        104      120      900      9        
43.06    53.39    1        105      60       900      5        
43.1     53.22    1        106      180      900      5        
43.11    54.91    1        107      120      900      8        
43.2     53.86    1        108      240      900      6        
43.2     54.08    1        109      60       300      5        
43.2     54.14    1        110      120      900      7        
43.2     54.35    1        111      180      900      5        
43.22    53.1     1        112      180      720      5        
43.22    53.15    1        113      0        900      5        
43.22    53.22    1        114      60       900      4        
43.22    55.42    1        115      180      900      6        
43.22    57.22    1        116      120      300      32       
43.23    55.34    1        117      60       900      5        
43.24    56.12    1        118      120      300      19       
43.24    56.77    1        119      0        360      6        
43.27    53.52    1        120      120      900      5        
43.3     54.16    1        121      180      720      8        
43.54    53.5     1        122      60       900      6        
43.56    54.07    1        123      120      300      5        
43.62    53.33    1        124      120      540      5        
43.74    53.5     1        125      180      900      7        
43.77    53.7     1        126      180      900      5        
43.81    53.5     1        127      60       900      5        
43.96    53.77    1        128      120      300      5        
44.15    57.59    1        129      120      720      4        
44.17    52.81    1        130      120      240      5        
44.25    52.17    1        131      180      900      8        
44.32    52.65    1        132      180      900      6        
44.32    52.65    1        133      300      900      6        
44.4     53.1     1        134      180      540      5        
44.45    51.95    1        135      120      900      7        
44.45    52.99    1        136      0        420      4        
44.47    52.4     1        137      120      900      6        
44.49    52.17    1        138      0        900      5        
44.52    54.42    1        139      120      900      5        
44.54    53.26    1        140      120      540      5        
44.58    54.4     1        141      0        900      5        
44.63    52.57    1        142      60       900      9        
44.72    52.28    1        143      0        900      5        
44.73    52.5     1        144      0        900      10       
44.74    52.68    1        145      0        900      5        
44.74    52.97    1        146      60       900      6        
44.78    51.95    1        147      180      900      5        
44.8     52.75    1        148      180      720      5        
44.8     52.75    1        149      0        900      6        
44.81    52.5     1        150      0        900      6        
44.81    52.5     1        151      180      900      9        
44.87    52.2     1        152      180      720      5        
44.89    52.64    1        153      180      900      5        
44.89    52.64    1        154      120      900      7        
44.97    54.48    1        155      0        720      5        
41.89    51.31    1        156      240      900      5        
41.97    51.3     1        157      60       900      4        
42       51.3     1        158      210      900      5        
42.07    51.79    1        159      60       900      5        
42.09    51.23    1        160      180      900      5        
42.09    51.23    1        161      0        900      5        
42.09    51.3     1        162      300      720      5        
42.13    51.96    1        163      0        900      6        
42.15    51.22    1        164      120      900      4        
42.17    51.44    1        165      0        900      4        
42.21    51.55    1        166      120      900      5        
42.21    51.55    1        167      180      900      4        
42.28    51.22    1        168      180      900      4        
42.29    51.54    1        169      180      900      5        
42.34    51.08    1        170      420      720      5        
42.34    51.22    1        171      120      900      6        
42.35    51.02    1        172      60       900      5        
42.36    51.14    1        173      240      540      5        
42.36    51.14    1        174      180      900      5        
42.36    51.54    1        175      60       900      5        
42.43    51.7     1        176      120      900      7        
42.43    51.7     1        177      0        900      4        
42.44    50.96    1        178      0        900      5        
42.45    51.07    1        179      300      720      4        
42.45    51.28    1        180      300      720      5        
42.58    51.69    1        181      0        300      5        
42.6     51.28    1        182      0        900      15       
42.65    51.27    1        183      0        900      5        
42.67    51.62    1        184      60       900      5        
42.68    51.68    1        185      0        900      5        
42.68    51.77    1        186      60       300      7        
42.72    51.32    1        187      120      900      6        
42.79    51.34    1        188      60       900      5        
42.79    51.34    1        189      300      900      5        
42.81    52.15    1        190      0        900      7        
42.82    51.26    1        191      240      900      5        
42.89    51.62    1        192      0        900      9        
42.92    51.68    1        193      180      900      7        
43.35    51.44    1        194      120      900      5        
43.41    51.25    1        195      0        900      5        
43.41    51.25    1        196      0        540      5        
43.41    51.28    1        197      0        300      6        
43.64    52.51    1        198      0        900      5        
43.75    51.58    1        199      120      240      5        
43.77    51.69    1        200      0        900      9        
43.98    51.68    1        201      60       900      5        
44.01    51.68    1        202      60       900      5        
44.34    52.08    1        203      60       900      7        
44.37    51.77    1        204      120      900      9        
44.44    51.93    1        205      660      900      10       
53.57    38.26    1        206      180      900      5        
54.52    30.71    1        207      0        900      5        
54.88    38.53    1        208      180      900      5        
55.11    39.68    1        209      180      900      6        
55.55    35.79    1        210      120      480      15       
55.64    38.63    1        211      120      900      5        
55.78    38.75    1        212      0        720      5        
55.9     38.61    1        213      120      900      5        
56.04    36.97    1        214      240      900      4        
56.45    30.97    1        215      60       900      5        
56.49    37.91    1        216      210      720      4        
56.49    37.91    1        217      300      900      4        
56.68    38.79    1        218      150      900      5        
56.94    37.08    1        219      120      900      6        
57.68    31.18    1        220      0        900      6        
58.12    31.28    1        221      360      720      5        
58.82    31.32    1        222      0        900      5        
59.04    28.82    1        223      0        300      9        
59.2     31.38    1        224      0        900      4        
59.34    31.42    1        225      180      900      4        
59.86    28.77    1        226      60       900      5        
60.15    33.06    1        227      120      900      4        
60.27    31.46    1        228      180      900      5        
60.65    30.95    1        229      120      900      4        
60.65    30.95    1        230      120      900      6        
60.76    29       1        231      180      900      4        
60.83    29.04    1        232      180      900      5        
60.86    30.17    1        233      0        240      7        
60.86    30.17    1        234      180      900      10       
61.6     27.62    1        235      0        900      5        
61.66    18.11    1        236      60       480      6        
61.74    29.28    1        237      120      900      4        
61.81    27.31    1        238      300      900      4        
62.18    27.17    1        239      0        900      12       
62.38    28.53    1        240      0        900      5        
62.43    30.53    1        241      60       900      5        
62.81    27.65    1        242      180      900      8        
63.04    29.6     1        243      60       900      5        
63.07    30.5     1        244      0        420      26       
63.07    30.5     1        245      180      900      6        
63.46    0        1        246      15       900      9        
63.52    30.77    1        247      0        900      6        
63.52    30.83    1        248      60       900      10       
63.52    30.83    1        249      120      900      7        
46.77    47.65    0        250      2000     0        0        
